choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,53,52]",space,1.3876,space,1.8671,critical,3.961460368,3.8437,space,1.1872,0,0,0,34,1,35,image/35.jpg,0,0,,R_2M3BSrq6ZzSs0t3,2,2024-05-18_17h57.58.730,face trait task,2021.2.3,MacIntel,62.89308176,120533,,,,,,,
,,,,,,5.018310954,7.3862,space,0.443,0,1,1,44,1,45,image/45.jpg,0,0,,R_2M3BSrq6ZzSs0t3,2,2024-05-18_17h57.58.730,face trait task,2021.2.3,MacIntel,62.89308176,120533,,,,,,,
,,,,,,4.044285889,4.2628,space,1.1556,0,2,2,19,1,20,image/20.jpg,0,0,,R_2M3BSrq6ZzSs0t3,2,2024-05-18_17h57.58.730,face trait task,2021.2.3,MacIntel,62.89308176,120533,,,,,,,
,,,,,,4.015367025,3.8888,space,0.2913,0,3,3,33,1,34,image/34.jpg,0,0,,R_2M3BSrq6ZzSs0t3,2,2024-05-18_17h57.58.730,face trait task,2021.2.3,MacIntel,62.89308176,120533,,,,,,,
,,,,,,1,10.4874,space,1.1779,0,4,4,51,1,54,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_2M3BSrq6ZzSs0t3,2,2024-05-18_17h57.58.730,face trait task,2021.2.3,MacIntel,62.89308176,120533,,,,,,,
,,,,,,3.022923584,3.4218,space,0.4049,0,5,5,41,1,42,image/42.jpg,0,0,,R_2M3BSrq6ZzSs0t3,2,2024-05-18_17h57.58.730,face trait task,2021.2.3,MacIntel,62.89308176,120533,,,,,,,
,,,,,,3.739950358,2.1281,space,0.488,0,6,6,17,1,18,image/18.jpg,0,0,,R_2M3BSrq6ZzSs0t3,2,2024-05-18_17h57.58.730,face trait task,2021.2.3,MacIntel,62.89308176,120533,,,,,,,
,,,,,,3.011909587,2.907,space,0.2428,0,7,7,15,1,16,image/16.jpg,0,0,,R_2M3BSrq6ZzSs0t3,2,2024-05-18_17h57.58.730,face trait task,2021.2.3,MacIntel,62.89308176,120533,,,,,,,
,,,,,,4.979373372,4.9165,space,2.8585,0,8,8,3,1,4,image/4.jpg,0,0,,R_2M3BSrq6ZzSs0t3,2,2024-05-18_17h57.58.730,face trait task,2021.2.3,MacIntel,62.89308176,120533,,,,,,,
,,,,,,4.023854167,6.656,space,3.0253,0,9,9,9,1,10,image/10.jpg,0,0,,R_2M3BSrq6ZzSs0t3,2,2024-05-18_17h57.58.730,face trait task,2021.2.3,MacIntel,62.89308176,120533,,,,,,,
,,,,,,3.344586182,2.689,space,1.539,0,10,10,38,1,39,image/39.jpg,0,0,,R_2M3BSrq6ZzSs0t3,2,2024-05-18_17h57.58.730,face trait task,2021.2.3,MacIntel,62.89308176,120533,,,,,,,
,,,,,,2.534350586,4.4511,space,0.4641,0,11,11,11,1,12,image/12.jpg,0,0,,R_2M3BSrq6ZzSs0t3,2,2024-05-18_17h57.58.730,face trait task,2021.2.3,MacIntel,62.89308176,120533,,,,,,,
