﻿choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,key_resp_5.keys,key_resp_5.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,50,54]",space,2.9145,space,1.1243,competent,space,0.5869,5.351188584,2.007,space,0.3097,0,0,0,36,1,37,image/37.jpg,0,0,,我努力赚钱,2,2024-05-31_01h40.56.985,face trait task chi,2021.2.3,Win32,120.3948953,,,,,,,
,,,,,,,,6.12329668,1.0045,space,0.3586,0,1,1,4,1,5,image/5.jpg,0,0,,我努力赚钱,2,2024-05-31_01h40.56.985,face trait task chi,2021.2.3,Win32,120.3948953,,,,,,,
,,,,,,,,5.362432873,1.3471,space,0.2252,0,2,2,21,1,22,image/22.jpg,0,0,,我努力赚钱,2,2024-05-31_01h40.56.985,face trait task chi,2021.2.3,Win32,120.3948953,,,,,,,
,,,,,,,,4.421660781,0.9832,space,0.0944,0,3,3,32,1,33,image/33.jpg,0,0,,我努力赚钱,2,2024-05-31_01h40.56.985,face trait task chi,2021.2.3,Win32,120.3948953,,,,,,,
,,,,,,,,3.44340761,1.2983,space,0.7426,0,4,4,24,1,25,image/25.jpg,0,0,,我努力赚钱,2,2024-05-31_01h40.56.985,face trait task chi,2021.2.3,Win32,120.3948953,,,,,,,
,,,,,,,,2.480146939,0.9815,space,0.1779,0,5,5,9,1,10,image/10.jpg,0,0,,我努力赚钱,2,2024-05-31_01h40.56.985,face trait task chi,2021.2.3,Win32,120.3948953,,,,,,,
,,,,,,,,1.010892905,2.2158,space,0.3518,0,6,6,50,1,51,image/fill_img.png,1,1,请将滑块完全移动到<左边>，以示您在专心判断。,我努力赚钱,2,2024-05-31_01h40.56.985,face trait task chi,2021.2.3,Win32,120.3948953,,,,,,,
,,,,,,,,5.681021528,1.7121,space,0.3604,0,7,7,42,1,43,image/43.jpg,0,0,,我努力赚钱,2,2024-05-31_01h40.56.985,face trait task chi,2021.2.3,Win32,120.3948953,,,,,,,
,,,,,,,,5.778471578,1.6533,space,0.2442,0,8,8,43,1,44,image/44.jpg,0,0,,我努力赚钱,2,2024-05-31_01h40.56.985,face trait task chi,2021.2.3,Win32,120.3948953,,,,,,,
,,,,,,,,2.77999454,1.8537,space,0.1895,0,9,9,14,1,15,image/15.jpg,0,0,,我努力赚钱,2,2024-05-31_01h40.56.985,face trait task chi,2021.2.3,Win32,120.3948953,,,,,,,
,,,,,,,,6.202006705,1.0934,space,0.2291,0,10,10,31,1,32,image/32.jpg,0,0,,我努力赚钱,2,2024-05-31_01h40.56.985,face trait task chi,2021.2.3,Win32,120.3948953,,,,,,,
,,,,,,,,5.302463559,1.0014,space,0.1532,0,11,11,5,1,6,image/6.jpg,0,0,,我努力赚钱,2,2024-05-31_01h40.56.985,face trait task chi,2021.2.3,Win32,120.3948953,,,,,,,
,,,,,,,,5.388670006,1.0987,space,0.2257,0,12,12,39,1,40,image/40.jpg,0,0,,我努力赚钱,2,2024-05-31_01h40.56.985,face trait task chi,2021.2.3,Win32,120.3948953,,,,,,,
