chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[128,171,112,48,175,189,178,73,61,148,56,120,151,159,53,36,183,114,99,31,140,142,15,93,165,188,85,107,163,101,119,75,195,64,95,145,125,66,134,203,74,6]",R_3FJcVxSy2lNvUyM,space,0.9639,space,1.36,space,9.1577,space,13.627,space,33.8474,space,1.8689,space,1.046,3,2.5966,3,5.5533,3,5.3043,2,5.0857,3,6.4192,0,0,0,0,1,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.7426,space,0.5025,space,0.3446,space,3.5351,space,0.9595,space,0.5977,3,0.9412,1,1.812,3,4.1899,2,4.7879,2,3.115,1,0,1,0,1,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,space,2.382,[],0.375911458,-0.268098958,0,0,0,0,0,0,0,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,"[""RightButton_2""]",0.347813585,-0.2728125,1,0,0,0,1,1,1,1,LeftButton_2,11dot1.png,Greater,Smaller,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,"[""RightButton_2""]",0.248470052,-0.349817708,1,0,0,0,2,2,2,1,RightButton_2,11dot1.png,Smaller,Greater,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Smaller,Greater,,0.2,-0.243033854,-0.522751736,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,38,7.6574,space,0.9854,8,10.9798,,,,,,0,0,0,0,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Greater,Smaller,,,0.307253689,-0.518272569,1,0,0,RightButton,"[""RightButton""]",,,,,,,51,2.7075,space,0.8304,10,4.5407,,,,,,0,1,1,1,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Greater,Smaller,,,0.309402127,-0.515694444,1,0,0,RightButton,"[""RightButton""]",,,,4.99077691,6.3627,space,,,,,,,,,,,,0,2,2,2,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,0.901,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Greater,Smaller,,,0.321207682,-0.522300347,1,0,0,RightButton,"[""RightButton""]",49,2.9328,space,,,,,,,,,,,,,,,0,3,3,3,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,0.9828,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Smaller,Greater,,,0.317263455,-0.476848958,1,0,0,RightButton,"[""RightButton""]",,,,,,,40,1.9849,space,0.7286,9,3.3412,,,,,,0,4,4,4,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Smaller,Greater,,,0.404443359,-0.529670139,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,39.71211683,1.582,space,3.425860164,2.7644,0,5,5,5,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,,0.8638,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.258186849,-0.534366319,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,21,1.9838,space,0.9144,1,3.9995,,,,,,0,6,6,6,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.321853299,-0.518776042,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,5,8.3981,space,0.6025,5,9.231,,,,,,0,7,7,7,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.302045356,-0.646073047,0,0,0,,[],,,,,,,,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,1,RandomDot23.png,No answer,21,,,,61,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Greater,Smaller,,,0.070437283,-0.641311454,0,0,0,,[],,,,,,,,,,,,,,,,,,0,9,9,9,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,,,148,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Smaller,Greater,,,0.279166667,-0.532056311,1,0,1,RightButton,"[""RightButton""]",11,1.5848,space,,,,,,,,,,,,,,,0,10,10,10,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,,0.9806,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Greater,Smaller,,,0.303390842,-0.539727162,1,0,1,RightButton,"[""RightButton""]",,,,,,,3,1.1984,space,0.6044,5,2.2038,,,,,,0,11,11,11,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.289621311,-0.508902109,1,0,1,LeftButton,"[""LeftButton""]",10,1.3351,space,,,,,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,,0.6143,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3FJcVxSy2lNvUyM,1,2024-04-10_13h51.33.211,interaction task,2021.2.3,MacIntel,59.88023952,120374,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.283192274,-0.496360704,1,0,1,LeftButton,"[""LeftButton""]",,,,5,5.0664,space,,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,3.8511,,,,,,,,
