chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,key_share.rt
"[87,100,179,183,79,96,198,141,139,126,178,152,73,7,127,167,53,145,15,49,161,166,136,116,58,172,92,28,68,188,131,114,61,103,197,184,151,90,39,109,66,77]",R_1FEbkzkWgC4zflT,space,2.999,space,3.172,space,11.014,space,32.162,space,34.14,space,14.869,space,17.357,1,62.169,3,18.413,3,6.263,2,7.951,2,3.699,0,0,0,0,1,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,3.405,space,9.525,space,1.796,space,0.542,space,14.342,space,5.167,3,2.892,1,2.353,3,2.019,2,2.425,2,1.093,1,0,1,0,1,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,space,4.126,[],0.230555556,-0.355555556,0,0,0,0,0,0,2,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,"[""LeftButton_2""]",-0.290277778,-0.333333333,1,0,0,0,1,1,1,1,RightButton_2,9dot2.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,"[""LeftButton_2""]",-0.252777778,-0.308888889,1,0,0,0,2,2,0,1,RightButton_2,11dot2.png,Smaller,Greater,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,,,,,,,,,,,,,,Greater,Smaller,,0,0.2625,-0.495555556,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,99.94388328,6.433,space,1.435,0.19640853,12.866,0,0,0,0,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.294444444,-0.491111111,1,0,0,LeftButton,"[""LeftButton""]",22,8.186,space,,,,,,,,,,,,,,,0,1,1,1,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,3.626,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,,,,,,,,,,,,,,Smaller,Greater,,,0.309722222,-0.486666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,45,5.279,space,20,9.012,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,1.625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,,,,,,,,,,,,,,Greater,Smaller,,,0.280555556,-0.515555556,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,50.70145903,5.628,space,1.002,53.64758698,8.461,0,3,3,3,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FEbkzkWgC4zflT,1,2024-04-14_14h52.19.552,interaction task,2021.2.3,MacIntel,29.41176471,120351,,,,,,,,,,,,,,,,Smaller,Greater,,,0.269444444,-0.508888889,1,0,0,RightButton,"[""RightButton""]",,,,,,,20,5.945,space,0,11.112,,,,,,,0,4,4,4,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,,2.928,
