chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt
"[154,114,95,130,94,150,118,63,36,116,30,22,161,198,102,70,172,197,107,164,76,138,179,185,103,49,167,124,136,183,64,152,48,126,139,73,189,56,177,83,86,11]",R_1QDhKsN6bYeEr98,space,1.115,space,0.0033,space,6.9612,space,12.817,space,12.88,space,5.2915,space,2.0745,4,4.0272,1,9.3452,3,7.0237,1,3.3569,3,12.0779,0,0,0,0,1,R_1QDhKsN6bYeEr98,1,2024-05-26_23h42.25.989,interaction task,2021.2.3,MacIntel,60.24096386,120753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.0306,space,5.3037,space,4.5144,space,29.7653,space,1.6862,space,1.2473,3,2.3648,1,2.7649,3,3.1641,2,2.7842,2,7.5024,1,0,1,0,1,R_1QDhKsN6bYeEr98,1,2024-05-26_23h42.25.989,interaction task,2021.2.3,MacIntel,60.24096386,120753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QDhKsN6bYeEr98,1,2024-05-26_23h42.25.989,interaction task,2021.2.3,MacIntel,60.24096386,120753,space,2.191,[],0.073008898,-0.19349537,0,0,0,0,0,0,0,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QDhKsN6bYeEr98,1,2024-05-26_23h42.25.989,interaction task,2021.2.3,MacIntel,60.24096386,120753,,,"[""RightButton_2""]",0.32632921,-0.305474537,1,0,0,0,1,1,2,1,RightButton_2,11dot1.png,Smaller,Greater,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QDhKsN6bYeEr98,1,2024-05-26_23h42.25.989,interaction task,2021.2.3,MacIntel,60.24096386,120753,,,"[""RightButton_2""]",0.272466363,-0.323923611,1,0,0,0,2,2,1,1,RightButton_2,11dot2.png,Smaller,Greater,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QDhKsN6bYeEr98,1,2024-05-26_23h42.25.989,interaction task,2021.2.3,MacIntel,60.24096386,120753,,,,,,,,,,,,,,,,Smaller,Greater,,0.4,0.302077908,-0.508136574,1,0,0,RightButton,"[""RightButton""]",90,3.7682,space,1.3146,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QDhKsN6bYeEr98,1,2024-05-26_23h42.25.989,interaction task,2021.2.3,MacIntel,60.24096386,120753,,,,,,,,,,,,,,,,Smaller,Greater,,,0.26891276,-0.518946759,1,0,0,RightButton,"[""RightButton""]",,,,,4.016655816,9.1381,space,,,,,,,,,,,0,1,1,1,1,2,only_sub_right.png,1,RandomDot15.png,No answer,19,1.8367,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QDhKsN6bYeEr98,1,2024-05-26_23h42.25.989,interaction task,2021.2.3,MacIntel,60.24096386,120753,,,,,,,,,,,,,,,,Smaller,Greater,,,0.348459201,-0.524201389,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,50.49814552,4.5124,space,84.69591751,8.2861,0,2,2,2,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,2.6324,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QDhKsN6bYeEr98,1,2024-05-26_23h42.25.989,interaction task,2021.2.3,MacIntel,60.24096386,120753,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.27483724,-0.473171296,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,80,3.1318,space,20,5.8695,,,,,,0,3,3,3,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,,1.3544
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QDhKsN6bYeEr98,1,2024-05-26_23h42.25.989,interaction task,2021.2.3,MacIntel,60.24096386,120753,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.257481554,-0.504652778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,69.8518387,3.5631,space,69.92527269,5.1006,0,4,4,4,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,,0.669,
